country,nationality
Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Argentina,Argentine
Argentina,Argentinian
Australia,Australian
Austria,Austrian
Bangladesh,Bangladeshi
Belgium,Belgian
Bolivia,Bolivian
Botswana,Batswana
Brazil,Brazilian
Bulgaria,Bulgarian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Costa Rica,Costa Rican
Croatia,Croatian
Cuba,Cuban
Czech Republic,Czech
Denmark,Danish
Dominican Republic,Dominican
Ecuador,Ecuadorian
Egypt,Egyptian
El Salvador,Salvadorian
England,English
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Germany,German
Ghana,Ghanaian
Greece,Greek
Guatemala,Guatemalan
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kenya,Kenyan
Kuwait,Kuwaiti
Laos,Lao
Latvia,Latvian
Lebanon,Lebanese
Libya,Libyan
Lithuania,Lithuanian
Madagascar,Malagasy
Malaysia,Malaysian
Mali,Malian
Malta,Maltese
Mexico,Mexican
Mongolia,Mongolian
Morocco,Moroccan
Mozambique,Mozambican
Namibia,Namibian
Nepal,Nepalese
Netherlands,Dutch
New Zealand,New Zealand
Nicaragua,Nicaraguan
Nigeria,Nigerian
Norway,Norwegian
Pakistan,Pakistani
Panama,Panamanian
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Philippine
Poland,Polish
Portugal,Portuguese
Romania,Romanian
Russia,Russian
Saudi Arabia,Saudi
Scotland,Scottish
Senegal,Senegalese
Serbia,Serbian
Singapore,Singaporean
Slovakia,Slovak
South Africa,South African
South Korea,Korean
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Sweden,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese
Tajikistan,Tajikistani
Thailand,Thai
Tonga,Tongan
Tunisia,Tunisian
Turkey,Turkish
Ukraine,Ukrainian
United Arab Emirates,Emirati
United Kingdom,British
UK,British
United States,American
US,American
Uruguay,Uruguayan
Venezuela,Venezuelan
Vietnam,Vietnamese
Wales,Welsh
Zambia,Zambian
Zimbabwe,Zimbabwean